NOME_MUNICIPIO;ANO_ESTATISTICA;MES_ESTATISTICA;APREENSÃO DE ENTORPECENTES;ESTUPRO;ESTUPRO DE VULNERÁVEL;EXTORSÃO MEDIANTE SEQUESTRO;FURTO - OUTROS;FURTO DE CARGA;FURTO DE VEÍCULO;HOMICÍDIO CULPOSO OUTROS;HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;HOMICÍDIO DOLOSO;HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;LATROCÍNIO;LESÃO CORPORAL CULPOSA - OUTRAS;LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;LESÃO CORPORAL DOLOSA;LESÃO CORPORAL SEGUIDA DE MORTE;PORTE DE ARMA;PORTE DE ENTORPECENTES;ROUBO - OUTROS;ROUBO A BANCO;ROUBO DE CARGA;ROUBO DE VEÍCULO;TENTATIVA DE HOMICÍDIO;TRÁFICO DE ENTORPECENTES
ADAMANTINA;2023;1;0;1;0;0;17;0;0;0;0;0;0;0;0;3;9;0;0;2;1;0;0;0;0;2
ADAMANTINA;2023;2;0;0;0;0;9;0;0;0;0;0;0;0;0;10;8;0;0;1;0;0;0;0;0;3
ADAMANTINA;2023;3;1;1;1;0;15;0;2;0;0;0;0;0;1;7;10;0;0;3;0;0;0;0;0;4
ADAMANTINA;2023;4;0;0;0;0;3;0;2;0;0;0;0;0;0;6;8;0;0;4;1;0;0;0;0;1
ADAMANTINA;2023;5;0;0;0;0;9;0;0;0;0;1;0;0;1;4;12;0;2;7;1;0;0;0;0;2
ADAMANTINA;2023;6;0;0;0;0;9;0;1;0;0;0;0;0;1;7;7;0;0;3;0;0;0;0;0;2
ADAMANTINA;2024;1;0;0;0;0;10;0;0;0;0;0;0;0;1;7;8;0;0;4;0;0;0;0;0;4
ADAMANTINA;2024;2;0;0;1;0;14;0;0;0;0;1;0;0;0;5;9;0;0;5;0;0;0;0;0;3
ADAMANTINA;2024;3;0;0;1;0;9;0;0;0;0;0;0;0;0;7;8;0;0;3;0;0;0;0;1;0
ADAMANTINA;2024;4;0;1;0;0;12;0;2;0;1;0;0;0;0;7;14;0;0;4;0;0;0;0;0;2
