NOME_MUNICIPIO;ANO_ESTATISTICA;MES_ESTATISTICA;APREENSÃO DE ENTORPECENTES;ESTUPRO;ESTUPRO DE VULNERÁVEL;EXTORSÃO MEDIANTE SEQUESTRO;FURTO - OUTROS;FURTO DE CARGA;FURTO DE VEÍCULO;HOMICÍDIO CULPOSO OUTROS;HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;HOMICÍDIO DOLOSO;HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;LATROCÍNIO;LESÃO CORPORAL CULPOSA - OUTRAS;LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;LESÃO CORPORAL DOLOSA;LESÃO CORPORAL SEGUIDA DE MORTE;PORTE DE ARMA;PORTE DE ENTORPECENTES;ROUBO - OUTROS;ROUBO A BANCO;ROUBO DE CARGA;ROUBO DE VEÍCULO;TENTATIVA DE HOMICÍDIO;TRÁFICO DE ENTORPECENTES
ADAMANTINA;2023;1;0;1;0;0;25;0;0;0;0;0;0;0;0;4;14;0;0;3;1;0;0;0;0;2
ADAMANTINA;2023;2;0;0;0;0;13;0;0;0;0;0;0;0;0;12;9;0;0;1;0;0;0;0;0;2
ADAMANTINA;2023;3;0;1;1;0;22;0;0;0;0;0;0;0;0;14;11;0;0;4;0;0;0;0;0;4
ADAMANTINA;2023;4;0;0;0;0;10;0;0;0;0;0;0;0;0;14;12;0;0;6;1;0;0;0;0;2
ADAMANTINA;2023;5;0;0;0;0;14;0;0;0;0;1;0;0;0;7;23;0;2;10;2;0;0;0;0;2
ADAMANTINA;2023;6;0;0;1;0;12;0;0;0;0;0;0;0;0;18;10;0;0;3;0;0;0;0;0;1
ADAMANTINA;2023;7;0;0;0;0;8;0;0;0;0;0;0;0;0;5;12;0;0;1;0;0;0;0;0;0
ADAMANTINA;2023;8;0;0;1;0;15;0;0;0;0;0;0;0;0;15;9;0;0;2;0;0;0;0;0;1
ADAMANTINA;2023;9;0;0;0;0;22;0;0;0;0;1;0;0;0;21;9;0;0;4;1;0;0;0;0;1
ADAMANTINA;2023;10;0;1;2;0;24;0;0;0;0;0;0;0;0;12;20;0;1;2;0;0;0;0;0;0
ADAMANTINA;2023;11;0;1;0;0;24;0;0;0;0;2;0;0;0;13;18;0;0;5;0;0;0;0;0;4
ADAMANTINA;2023;12;0;0;1;0;10;0;0;0;0;0;0;0;0;9;14;0;1;3;0;0;0;0;0;0
ADAMANTINA;2024;1;0;0;0;0;18;0;0;0;0;0;0;0;0;16;18;0;0;5;0;0;0;0;0;5
ADAMANTINA;2024;2;0;0;1;0;22;0;0;0;0;1;0;0;0;7;12;0;0;5;0;0;0;0;0;3
ADAMANTINA;2024;3;0;0;1;0;20;0;0;0;0;1;0;0;0;12;15;0;0;4;0;0;0;0;0;0
ADAMANTINA;2024;4;0;1;0;0;26;0;0;0;1;0;0;0;0;15;21;0;0;7;0;0;0;0;0;4
ADAMANTINA;2024;5;0;0;3;0;23;0;0;0;0;0;0;0;0;20;15;0;1;2;0;0;0;0;0;4
ADAMANTINA;2024;6;0;0;0;0;14;0;0;0;0;0;0;0;0;9;10;0;0;1;1;0;0;0;0;4
ADAMANTINA;2024;7;0;0;0;0;17;0;0;0;1;0;0;0;0;13;13;0;0;1;0;0;0;0;0;7
ADAMANTINA;2024;8;0;0;0;0;20;0;0;0;0;0;0;0;0;6;11;0;0;1;0;0;0;0;0;3
ADAMANTINA;2024;9;0;0;0;0;16;0;0;0;1;0;0;0;0;9;20;0;0;1;0;0;0;0;0;5
ADAMANTINA;2024;10;0;0;0;0;15;0;0;0;0;0;0;0;0;9;16;0;0;0;0;0;0;0;0;0
